date,stock_code,stock_name,open,high,low,close,volume
2022-01-04,601919,中远海控,12.09,12.68,11.96,12.48,2799141
2022-01-05,601919,中远海控,12.42,12.81,11.92,12.1,2133686
2022-01-06,601919,中远海控,11.99,12.23,11.25,11.45,2052868
2022-01-07,601919,中远海控,11.39,11.93,11.29,11.55,1409067
2022-01-10,601919,中远海控,11.44,11.55,10.48,10.97,1873819
2022-01-11,601919,中远海控,10.87,11.52,10.69,10.88,1450937
2022-01-12,601919,中远海控,11.1,11.4,10.83,11.25,1145052
2022-01-13,601919,中远海控,11.25,11.57,11.02,11.06,1135159
2022-01-14,601919,中远海控,10.94,11.38,10.61,11.17,1370988
2022-01-17,601919,中远海控,10.86,10.88,10.24,10.32,1910454
2022-01-18,601919,中远海控,10.18,11.09,9.89,11.01,1931836
2022-01-19,601919,中远海控,10.87,10.98,10.48,10.53,1032194
2022-01-20,601919,中远海控,10.28,10.67,10.19,10.32,953573
2022-01-21,601919,中远海控,10.38,10.5,9.32,9.58,1856266
2022-01-24,601919,中远海控,9.18,9.75,8.96,9.5,1083108
2022-01-25,601919,中远海控,8.98,10.11,8.98,9.21,1818484
2022-01-26,601919,中远海控,9.51,9.98,9.39,9.57,1215657
2022-01-27,601919,中远海控,9.51,10.12,9.33,9.35,1321423
2022-01-28,601919,中远海控,9.68,9.71,8.83,9.0,1314450
2022-02-07,601919,中远海控,9.18,9.5,9.09,9.41,1070809
2022-02-08,601919,中远海控,9.5,9.88,9.25,9.88,1225046
2022-02-09,601919,中远海控,10.11,10.16,9.69,9.85,1057660
2022-02-10,601919,中远海控,10.07,10.25,9.82,9.93,1269278
2022-02-11,601919,中远海控,9.84,10.37,9.68,9.95,1639466
2022-02-14,601919,中远海控,9.85,9.85,8.95,9.03,1946218
2022-02-15,601919,中远海控,8.9,9.19,8.85,9.04,938063
2022-02-16,601919,中远海控,9.2,9.85,9.12,9.57,1679317
2022-02-17,601919,中远海控,9.6,9.72,9.43,9.57,1049355
2022-02-18,601919,中远海控,9.35,9.79,9.29,9.77,969976
2022-02-21,601919,中远海控,9.58,9.71,9.34,9.67,993723
2022-02-22,601919,中远海控,9.34,9.35,8.94,9.13,1579421
2022-02-23,601919,中远海控,9.18,9.51,9.14,9.39,1156640
2022-02-24,601919,中远海控,9.16,9.71,8.98,9.04,1790738
2022-02-25,601919,中远海控,9.25,9.53,9.12,9.13,1398992
2022-02-28,601919,中远海控,9.24,10.58,9.19,10.4,3233806
2022-03-01,601919,中远海控,10.4,10.8,10.29,10.69,2208376
2022-03-02,601919,中远海控,10.68,10.86,10.43,10.68,1495533
2022-03-03,601919,中远海控,10.93,11.54,10.83,11.35,2245283
2022-03-04,601919,中远海控,11.16,11.4,10.71,11.12,1602616
2022-03-07,601919,中远海控,10.88,11.14,10.46,10.51,1469100
2022-03-08,601919,中远海控,10.3,10.77,9.58,9.71,1517787
2022-03-09,601919,中远海控,9.72,9.91,8.53,9.33,1704999
2022-03-10,601919,中远海控,9.75,9.83,9.22,9.28,1263883
2022-03-11,601919,中远海控,9.29,9.83,8.91,9.82,1546185
2022-03-14,601919,中远海控,9.48,9.71,9.03,9.05,1408638
2022-03-15,601919,中远海控,8.94,9.05,7.75,7.83,2320324
2022-03-16,601919,中远海控,8.28,8.96,8.04,8.94,2198665
2022-03-17,601919,中远海控,9.32,9.39,8.71,8.83,1805529
2022-03-18,601919,中远海控,8.89,9.52,8.82,9.32,1951137
2022-03-21,601919,中远海控,9.48,9.49,8.84,9.15,1460986
2022-03-22,601919,中远海控,9.13,9.48,8.99,9.26,1058781
2022-03-23,601919,中远海控,9.46,9.54,9.07,9.17,833792
2022-03-24,601919,中远海控,9.13,9.46,8.97,9.26,927550
2022-03-25,601919,中远海控,9.08,9.12,8.6,8.65,1463800
2022-03-28,601919,中远海控,8.08,8.86,7.79,8.61,1460928
2022-03-29,601919,中远海控,8.68,9.08,8.68,8.98,1103921
2022-03-30,601919,中远海控,9.04,9.07,8.79,8.97,1260378
2022-03-31,601919,中远海控,8.38,8.61,8.19,8.38,1989355
2022-04-01,601919,中远海控,8.79,9.93,8.6,9.93,4051599
2022-04-06,601919,中远海控,9.36,9.53,8.84,8.97,3487575
2022-04-07,601919,中远海控,8.73,8.88,8.43,8.43,1763826
2022-04-08,601919,中远海控,8.44,8.55,8.06,8.46,1400484
2022-04-11,601919,中远海控,8.27,8.28,7.85,7.88,1543974
2022-04-12,601919,中远海控,7.78,8.52,7.74,8.32,1443127
2022-04-13,601919,中远海控,8.2,8.51,8.0,8.21,1014483
2022-04-14,601919,中远海控,8.35,8.4,8.09,8.35,962961
2022-04-15,601919,中远海控,8.19,8.3,7.95,7.99,905247
2022-04-18,601919,中远海控,7.89,7.9,7.47,7.77,883398
2022-04-19,601919,中远海控,7.87,8.18,7.78,7.9,769928
2022-04-20,601919,中远海控,8.08,8.35,7.88,7.92,951762
2022-04-21,601919,中远海控,7.78,7.9,7.49,7.52,898517
2022-04-22,601919,中远海控,7.39,7.92,7.14,7.65,977880
2022-04-25,601919,中远海控,7.3,7.43,6.43,6.45,1587588
2022-04-26,601919,中远海控,6.47,6.8,6.28,6.44,1452750
2022-04-27,601919,中远海控,6.16,6.82,6.0,6.81,1563312
2022-04-28,601919,中远海控,6.78,7.13,6.65,6.94,1352180
2022-04-29,601919,中远海控,6.93,7.33,6.73,7.31,1461018
2022-05-05,601919,中远海控,7.76,8.04,7.58,7.89,1856680
2022-05-06,601919,中远海控,7.45,7.75,7.38,7.42,1132693
2022-05-09,601919,中远海控,7.34,7.49,7.27,7.34,628567
2022-05-10,601919,中远海控,6.89,7.22,6.61,7.13,1208426
2022-05-11,601919,中远海控,7.16,7.4,6.98,7.03,1213548
2022-05-12,601919,中远海控,6.86,7.3,6.8,7.01,913251
2022-05-13,601919,中远海控,7.09,7.39,7.06,7.3,1197315
2022-05-16,601919,中远海控,7.4,7.43,7.05,7.08,855235
2022-05-17,601919,中远海控,7.16,7.19,6.93,7.14,664824
2022-05-18,601919,中远海控,7.2,7.2,6.94,7.06,760693
2022-05-19,601919,中远海控,6.78,6.88,6.67,6.87,954356
2022-05-20,601919,中远海控,6.95,7.66,6.94,7.45,1951448
2022-05-23,601919,中远海控,7.9,8.1,7.7,8.02,1851579
2022-05-24,601919,中远海控,8.02,8.56,7.82,7.83,1974949
2022-05-25,601919,中远海控,8.12,8.26,7.91,8.07,1325875
2022-05-26,601919,中远海控,7.97,8.11,7.75,8.0,1001858
2022-05-27,601919,中远海控,8.23,8.61,8.16,8.36,1878430
2022-05-30,601919,中远海控,8.36,8.42,8.03,8.21,1107769
2022-05-31,601919,中远海控,8.22,8.37,8.1,8.23,926323
2022-06-01,601919,中远海控,8.11,8.51,8.06,8.27,1031705
2022-06-02,601919,中远海控,8.27,8.36,8.06,8.17,788011
2022-06-06,601919,中远海控,8.23,8.36,8.06,8.32,1006834
2022-06-07,601919,中远海控,8.38,9.04,8.38,8.81,2058744
2022-06-08,601919,中远海控,8.81,8.83,8.33,8.6,1244633
2022-06-09,601919,中远海控,7.99,8.08,7.63,7.76,2236170
2022-06-10,601919,中远海控,7.21,7.72,7.2,7.67,1612643
2022-06-13,601919,中远海控,7.41,7.63,7.38,7.51,1088077
2022-06-14,601919,中远海控,7.27,7.53,7.09,7.51,1191588
2022-06-15,601919,中远海控,7.75,8.67,7.73,8.23,2532947
2022-06-16,601919,中远海控,8.3,8.37,7.77,7.82,1602574
2022-06-17,601919,中远海控,7.47,7.92,7.29,7.87,1253480
2022-06-20,601919,中远海控,7.88,7.93,7.6,7.87,1118015
2022-06-21,601919,中远海控,8.05,8.05,7.5,7.66,1489666
2022-06-22,601919,中远海控,7.66,7.86,7.48,7.49,936919
2022-06-23,601919,中远海控,7.35,7.5,7.16,7.48,1154930
2022-06-24,601919,中远海控,7.45,7.52,7.3,7.42,872383
2022-06-27,601919,中远海控,7.42,7.68,7.38,7.58,1066127
2022-06-28,601919,中远海控,7.55,8.04,7.54,7.97,1558567
2022-06-29,601919,中远海控,7.85,7.94,7.61,7.64,1035353
2022-06-30,601919,中远海控,7.63,7.74,7.56,7.65,745060
2022-07-01,601919,中远海控,7.59,7.75,7.53,7.63,683209
2022-07-04,601919,中远海控,7.57,7.71,7.41,7.68,860504
2022-07-05,601919,中远海控,7.83,8.09,7.75,7.97,1677678
2022-07-06,601919,中远海控,8.0,8.01,7.54,7.67,1050091
2022-07-07,601919,中远海控,8.65,8.93,8.3,8.47,3307047
2022-07-08,601919,中远海控,8.77,9.09,8.58,8.59,2441195
2022-07-11,601919,中远海控,8.66,8.83,8.23,8.46,1819632
2022-07-12,601919,中远海控,8.48,8.52,8.21,8.26,1213790
2022-07-13,601919,中远海控,8.29,8.41,8.06,8.21,1108969
2022-07-14,601919,中远海控,8.2,8.24,7.98,8.04,1044461
2022-07-15,601919,中远海控,8.04,8.34,7.93,7.95,1222316
