date,stock_code,stock_name,open,high,low,close,volume
2020-01-02,600976,健民集团,13.08,13.42,13.08,13.37,27453
2020-01-03,600976,健民集团,13.29,13.33,13.09,13.16,23887
2020-01-06,600976,健民集团,13.11,13.19,12.89,13.08,19184
2020-01-07,600976,健民集团,13.05,13.44,13.03,13.39,24823
2020-01-08,600976,健民集团,13.29,13.38,12.88,13.07,18934
2020-01-09,600976,健民集团,13.1,13.4,13.09,13.33,23142
2020-01-10,600976,健民集团,13.38,14.05,13.21,14.03,49572
2020-01-13,600976,健民集团,14.02,14.26,13.76,14.03,30464
2020-01-14,600976,健民集团,14.01,14.01,13.66,13.78,15463
2020-01-15,600976,健民集团,13.7,13.85,13.41,13.49,18913
2020-01-16,600976,健民集团,13.62,13.67,13.46,13.5,11727
2020-01-17,600976,健民集团,13.54,13.67,13.34,13.42,14440
2020-01-20,600976,健民集团,13.72,14.03,13.5,14.03,29722
2020-01-21,600976,健民集团,14.51,14.81,13.99,14.51,57892
2020-01-22,600976,健民集团,14.53,14.73,13.64,13.74,41391
2020-01-23,600976,健民集团,13.63,13.96,12.54,13.23,42897
2020-02-03,600976,健民集团,11.79,12.37,11.46,11.46,52983
2020-02-04,600976,健民集团,11.46,12.31,11.46,12.2,29764
2020-02-05,600976,健民集团,12.37,12.83,12.13,12.83,43049
2020-02-06,600976,健民集团,12.84,13.51,12.49,13.04,50623
2020-02-07,600976,健民集团,12.92,13.25,12.56,12.86,34902
2020-02-10,600976,健民集团,12.94,12.94,12.18,12.3,31974
2020-02-11,600976,健民集团,12.22,12.4,11.93,12.28,20685
2020-02-12,600976,健民集团,12.29,12.37,12.09,12.27,17348
2020-02-13,600976,健民集团,12.29,12.3,11.87,11.88,26127
2020-02-14,600976,健民集团,11.95,12.01,11.68,11.8,27704
2020-02-17,600976,健民集团,11.91,13.31,11.91,13.22,59432
2020-02-18,600976,健民集团,14.03,14.04,13.28,13.46,71208
2020-02-19,600976,健民集团,13.6,13.63,12.53,12.56,53018
2020-02-20,600976,健民集团,12.49,12.68,12.26,12.5,33230
2020-02-21,600976,健民集团,12.61,13.51,12.38,13.47,54206
2020-02-24,600976,健民集团,13.42,13.71,13.08,13.19,43563
2020-02-25,600976,健民集团,13.07,13.71,12.85,13.55,60762
2020-02-26,600976,健民集团,13.34,13.42,12.88,12.92,36859
2020-02-27,600976,健民集团,12.94,13.13,12.69,12.88,22581
2020-02-28,600976,健民集团,12.53,12.87,12.03,12.13,28363
2020-03-02,600976,健民集团,12.21,12.59,12.16,12.45,17638
2020-03-03,600976,健民集团,12.59,12.67,12.24,12.3,33735
2020-03-04,600976,健民集团,12.28,12.86,12.14,12.79,28223
2020-03-05,600976,健民集团,12.85,12.89,12.69,12.83,19544
2020-03-06,600976,健民集团,12.77,13.08,12.61,12.71,20672
2020-03-09,600976,健民集团,12.63,13.02,12.43,12.72,33621
2020-03-10,600976,健民集团,12.38,13.5,12.04,13.32,44157
2020-03-11,600976,健民集团,13.21,13.42,12.97,12.97,29467
2020-03-12,600976,健民集团,12.83,12.97,12.33,12.42,16115
2020-03-13,600976,健民集团,11.79,12.28,11.51,11.96,27879
2020-03-16,600976,健民集团,12.09,12.53,11.69,11.78,25155
2020-03-17,600976,健民集团,11.77,11.97,11.23,11.47,19328
